_.vs.4.nav.e_maze.ga.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.2.0	_.vs.4.nav.e_maze.ga.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.5.0	_.vs.4.nav.e_maze.me.epistasis.0.5	_.vs.4.nav.e_maze.me.epistasis.2.0	_.vs.4.nav.e_maze.me.epistasis.0.2	_.vs.4.nav.e_maze.me.epistasis.1.0	_.vs.4.nav.e_maze.ga.epistasis.5.0	_.vs.4.nav.e_maze.ga.epistasis.0.5	_.vs.4.nav.y_maze.ga.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.2.0	_.vs.4.nav.y_maze.ga.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.5.0	_.vs.4.nav.y_maze.me.epistasis.0.5	_.vs.4.nav.y_maze.me.epistasis.2.0	_.vs.4.nav.y_maze.me.epistasis.0.2	_.vs.4.nav.y_maze.me.epistasis.1.0	_.vs.4.nav.y_maze.ga.epistasis.5.0	_.vs.4.nav.y_maze.ga.epistasis.0.5
0.000e+00	0.000e+00	2.500e-01	0.000e+00	2.500e-01	0.000e+00	2.500e-01	2.500e-01	0.000e+00	2.500e-01	0.000e+00	0.000e+00	2.500e-01	5.000e-01	0.000e+00	2.500e-01	2.500e-01	5.000e-01	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00	2.500e-01	2.500e-01	2.500e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01	2.500e-01	0.000e+00	7.500e-01	0.000e+00	0.000e+00	0.000e+00
0.000e+00	2.500e-01	2.500e-01	2.500e-01	0.000e+00	2.500e-01	7.500e-01	0.000e+00	2.500e-01	0.000e+00	0.000e+00	0.000e+00	5.000e-01	2.500e-01	0.000e+00	2.500e-01	2.500e-01	0.000e+00	0.000e+00	0.000e+00
0.000e+00	0.000e+00	5.000e-01	2.500e-01	0.000e+00	0.000e+00	2.500e-01	2.500e-01	0.000e+00	2.500e-01	0.000e+00	0.000e+00	0.000e+00	2.500e-01	5.000e-01	0.000e+00	2.500e-01	2.500e-01	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	5.000e-01	5.000e-01	2.500e-01	5.000e-01	2.500e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.000e-01	2.500e-01	0.000e+00	2.500e-01	5.000e-01	2.500e-01	0.000e+00	0.000e+00
0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00	5.000e-01	2.500e-01	5.000e-01	0.000e+00	0.000e+00	2.500e-01	0.000e+00	2.500e-01	0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00	2.500e-01
0.000e+00	0.000e+00	2.500e-01	2.500e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00	2.500e-01	5.000e-01	2.500e-01	0.000e+00	2.500e-01
0.000e+00	2.500e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00	2.500e-01	0.000e+00	2.500e-01	5.000e-01	2.500e-01	0.000e+00	0.000e+00	2.500e-01
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.000e-01	2.500e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01	2.500e-01	0.000e+00	7.500e-01	2.500e-01	0.000e+00	0.000e+00
0.000e+00	0.000e+00	2.500e-01	0.000e+00	2.500e-01	2.500e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.000e-01	5.000e-01	2.500e-01	5.000e-01	5.000e-01	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	5.000e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01	2.500e-01	0.000e+00	0.000e+00	5.000e-01	2.500e-01	0.000e+00	2.500e-01
2.500e-01	0.000e+00	2.500e-01	2.500e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00	2.500e-01	2.500e-01	5.000e-01	0.000e+00	0.000e+00
0.000e+00	0.000e+00	2.500e-01	0.000e+00	2.500e-01	0.000e+00	0.000e+00	2.500e-01	0.000e+00	2.500e-01	0.000e+00	2.500e-01	0.000e+00	0.000e+00	5.000e-01	2.500e-01	2.500e-01	0.000e+00	0.000e+00	0.000e+00
2.500e-01	0.000e+00	2.500e-01	2.500e-01	2.500e-01	0.000e+00	0.000e+00	5.000e-01	0.000e+00	0.000e+00	2.500e-01	0.000e+00	2.500e-01	0.000e+00	2.500e-01	2.500e-01	5.000e-01	5.000e-01	0.000e+00	2.500e-01
2.500e-01	0.000e+00	5.000e-01	5.000e-01	2.500e-01	0.000e+00	2.500e-01	0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00	0.000e+00	5.000e-01	5.000e-01	0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01	2.500e-01	0.000e+00	2.500e-01	0.000e+00	0.000e+00	2.500e-01	0.000e+00	7.500e-01	2.500e-01	2.500e-01	2.500e-01	0.000e+00	0.000e+00
0.000e+00	2.500e-01	2.500e-01	2.500e-01	2.500e-01	0.000e+00	2.500e-01	2.500e-01	0.000e+00	2.500e-01	2.500e-01	2.500e-01	2.500e-01	2.500e-01	2.500e-01	0.000e+00	5.000e-01	0.000e+00	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00	5.000e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00	5.000e-01	7.500e-01	5.000e-01	0.000e+00	2.500e-01
2.500e-01	0.000e+00	2.500e-01	0.000e+00	5.000e-01	0.000e+00	2.500e-01	0.000e+00	0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00	2.500e-01	2.500e-01	2.500e-01	0.000e+00	0.000e+00	0.000e+00
0.000e+00	0.000e+00	0.000e+00	2.500e-01	0.000e+00	0.000e+00	5.000e-01	2.500e-01	0.000e+00	2.500e-01	2.500e-01	0.000e+00	0.000e+00	2.500e-01	5.000e-01	2.500e-01	7.500e-01	5.000e-01	0.000e+00	0.000e+00
